VAR_001,VAR_003,VAR_004,VAR_005,VAR_006,VAR_007,VAR_008,VAR_009,VAR_010,VAR_011,VAR_012,VAR_017,VAR_018,VAR_019,VAR_020,VAR_021,VAR_022,VAR_023,VAR_031,VAR_055
4212403,4245,0.25,30.7,97.8,45.78,12.09,99.94,89.61,627.3,9.41,2.32,30.29,6.94,2318,12.55,0.33,86.49,61922.73,26.55
4212502,33663,2.46,91.74,91.64,86.64,82.11,99.89,99.89,1075.58,10.31,3.5,32.81,7.62,12777,12.78,0.42,86.28,30475.02,582.89
4212601,2992,0.01,49.56,97.75,72.25,0.67,99.83,93.67,891.18,11.13,6.67,33.9,7.21,2040,11.55,0.47,87.45,44253.39,31.11
4212650,10190,0.76,64.66,99.14,53.27,4.81,99.69,97.96,412.14,10.29631399,6.458703072,34.11027304,8.491911263,12119.29693,14.74098976,0.441228669,84.5316041,11680.06,95.36
4212700,6716,0.76,36.29,97.5,39.38,34.22,99.92,95.95,631.8,10.79,6.17,24.17,6.13,4071,19.2,0.47,80.61,38062.83,21.89
4212809,27127,3.93,90.76,86.2,83.92,60.95,99.88,99.65,902.9256655,9.2,4.09,43.8,11.21,8869,12.59,0.44,86.46,62076.5,273.03
4212908,21972,2.5,83.36,73.63,83.14,6.4,99.98,94.19,1414.01,11.03,2.23,43.91,11.41,10434,11.17,0.43,87.81,71746.97,170.69
4213005,3473,0.88,54.02,99.23,67.91,52.6,100,98.13,1447.44,12.12,2.28,36.7,11.23,2140,12.89,0.45,86.18,62514.45,56.92
4213104,5769,1.57,59.65,80.87,78.02,6.17,99.87,98.2,1294.37,11.24,2.76,44.4,10.16,2864,16.36,0.43,83.03,220268.82,39.49
4213153,2946,0.89,40.2,96.69,56.99,0.09,99.91,72.5,570.39,10.9,5.29,31,8.38,1690,11.59,0.42,87.41,48822.21,46.69
4213203,34289,1.77,85.82,85.21,80.29,34.79,99.89,99.55,1789.6,10.62,0.81,40.39,13.01,17288,11.22,0.38,87.76,81195.67,160.01
4213302,4437,-0.81,73.11,99.31,76.42,33.4,99.37,92.5,597.58,10.63,12.44,28.73,6.75,2129,18.97,0.45,80.81,38051.45,7.71
4213351,3210,-0.24,91.04,99.62,88.62,77.7,99.25,96.99,558.52,9.31,13.06,34.33,8.84,1476,17.38,0.47,82.15,48636.59,8.09
4213401,10649,-0.29,69.11,92.2,82.62,33.76,99.05,93.31,809.63,10.39,7.23,34.2,9.31,5553,20.53,0.44,79.52,24929.88,18.99
4213500,27688,4.63,94.3,80.65,88.88,16.55,99.86,99.7,1199.9,9.91,1.93,41.37,10.2,8589,11.22,0.42,87.76,65515.91,295.58
4213609,32970,-0.13,84.39,91.93,84.13,72.59,99.55,96.26,1310.59,10.87,6.26,49.12,18.38,17680,10.83,0.53,88.14,32220.81,38.84
4213708,17123,1.22,60.93,87.27,54.13,60.13,99.85,85.41,625.16,9.47,3.69,28.04,6.78,8667,13.67,0.43,85.45,40021.42,48.03
4213807,8270,1.09,59.13,97.74,69.86,41.08,99.63,96.41,644.29,10.93,8.28,34.13,8.43,4054,15.25,0.42,84.01,30559.62,29.08
4213906,1689,-0.22,32.06,98.18,64.19,0.99,100,99.01,1255.45,12.12,1.82,24.02,5.49,1281,11.41,0.47,87.58,49750.06,25.81
4214003,20010,2.5,70.77,83.12,83.76,66.21,99.96,98.09,850.29,10.21,2.58,32.44,7.82,9435,12.18,0.41,86.85,54804.92,67.34
4214102,2301,0.06,35.38,98.3,37.71,16.53,100,92.41,429.39,10.2,2.47,25.54,5.84,1559,13.34,0.5,85.75,27528.44,10.24
4214151,2964,0.6,36.4,99.27,73.38,0.18,99.36,71.64,468.84,11.56,6.32,27.85,2.23,1754,17.29,0.42,82.22,46068.84,34.63
4214201,11022,0.61,56.07,93.11,65.99,4.97,99.95,88.27,948.73,9.76,5.7,36.36,8.32,6438,16,0.39,83.34,47332.67,39.51
4214300,3279,1.5,46.94,97.84,36.43,27.46,100,98.96,1286.36,11.01,1.92,31.88,8.39,1725,10.62,0.42,88.35,57206.61,11.45
